a, b, c, d, e, f, g, h, i
0.804169, 0.644296, 0.038922, 0.784828, 0.619714, 0.002655, 5.000000, 0.803575, 0.645049
0.038630, -0.619541, 0.784964, 0.000959, 6.000000, 0.805619, 0.646661, 0.038342, 0.785301
0.619114, 0.002603, 5.000000, 0.805034, 0.647403, 0.038058, -0.618914, 0.785459, 0.000945
6.000000, 0.807040, 0.648982, 0.037777, 0.785798, 0.618483, 0.002553, 5.000000, 0.806464
0.649714, 0.037501, -0.618256, 0.785976, 0.000931, 7.000000, 0.808436, 0.651264, 0.037228
0.786145, 0.618042, 0.002508, 5.000000, 0.807868, 0.651986, 0.036959, -0.617792, 0.786342
0.000919, 7.000000, 0.809806, 0.653508, 0.036693, 0.786506, 0.617583, 0.002464, 5.000000
0.809246, 0.654221, 0.036430, -0.617310, 0.786720, 0.000906, 7.000000, 0.811151, 0.655714
0.036171, 0.786880, 0.617106, 0.002420, 5.000000, 0.810600, 0.656418, 0.035915, -0.616811
0.787111, 0.000894, 7.000000, 0.812472, 0.657885, 0.035662, 0.787267, 0.616613, 0.002379
5.000000, 0.811928, 0.658580, 0.035413, -0.616298, 0.787513, 0.000882, 7.000000, 0.813770
0.660020, 0.035166, 0.787664, 0.616105, 0.002338, 5.000000, 0.813233, 0.660706, 0.034923
-0.615770, 0.787926, 0.000871, 7.000000, 0.815044, 0.662121, 0.034682, 0.788071, 0.615584
0.002298, 5.000000, 0.814516, 0.662798, 0.034445, -0.615231, 0.788347, 0.000860, 7.000000
0.816297, 0.664188, 0.034210, 0.788487, 0.615051, 0.002259, 5.000000, 0.815775, 0.664857
0.033979, -0.614680, 0.788776, 0.000849, 7.000000, 0.817528, 0.666223, 0.033749, 0.788911
0.614508, 0.002222, 5.000000, 0.817013, 0.666884, 0.033523, -0.614120, 0.789213, 0.000838
7.000000, 0.818738, 0.668226, 0.033300, 0.789341, 0.613955, 0.002185, 5.000000, 0.818230
0.668879, 0.033079, -0.613551, 0.789655, 0.000828, 7.000000, 0.819928, 0.670198, 0.032860
0.789778, 0.613393, 0.002149, 5.000000, 0.819427, 0.670844, 0.032645, -0.612974, 0.790103
0.000818, 7.000000, 0.821098, 0.672140, 0.032431, 0.790220, 0.612824, 0.002115, 5.000000
0.820603, 0.672778, 0.032221, -0.612391, 0.790555, 0.000808, 7.000000, 0.822249, 0.674052
0.032012, 0.790666, 0.612248, 0.002081, 5.000000, 0.821760, 0.674683, 0.031806, -0.611802
0.791011, 0.000798, 7.000000, 0.823381, 0.675936, 0.031602, 0.791115, 0.611668, 0.002048
5.000000, 0.822899, 0.676560, 0.031401, -0.611208, 0.791470, 0.000788, 7.000000, 0.824494
0.677792, 0.031202, 0.791567, 0.611082, 0.002016, 5.000000, 0.824018, 0.678409, 0.031005
-0.610611, 0.791931, 0.000779, 7.000000, 0.825590, 0.679621, 0.030810, 0.792021, 0.610494
0.001985, 5.000000, 0.825121, 0.680231, 0.030618, -0.610011, 0.792393, 0.000770, 7.000000
0.826669, 0.681423, 0.030427, 0.792477, 0.609902, 0.001954, 5.000000, 0.826205, 0.682027
0.030239, -0.609409, 0.792856, 0.000761, 7.000000, 0.827731, 0.683199, 0.030053, 0.792932
0.609310, 0.001925, 5.000000, 0.827273, 0.683797, 0.029869, -0.608806, 0.793319, 0.000753
7.000000, 0.828777, 0.684951, 0.029686, 0.793388, 0.608716, 0.001896, 5.000000, 0.828324
0.685542, 0.029506, -0.608203, 0.793781, 0.000745, 7.000000, 0.829809, 0.686679, 0.029327
0.793844, 0.608122, 0.001870, 6.000000, 0.829361, 0.687264, 0.029151, -0.607863, 0.794042
0.000737, 7.000000, 0.830826, 0.688385, 0.028976, 0.794098, 0.607790, 0.001845, 6.000000
0.830383, 0.688964, 0.028803, -0.607535, 0.794293, 0.000729, 7.000000, 0.831830, 0.690071
0.028631, 0.794342, 0.607471, 0.001821, 6.000000, 0.831391, 0.690644, 0.028461, -0.607220
0.794534, 0.000722, 7.000000, 0.832820, 0.691736, 0.028293, 0.794576, 0.607165, 0.001798
6.000000, 0.832386, 0.692304, 0.028126, -0.606919, 0.794764, 0.000714, 7.000000, 0.833798
0.693381, 0.027961, 0.794799, 0.606873, 0.001776, 6.000000, 0.833369, 0.693944, 0.027797
-0.606632, 0.794983, 0.000707, 7.000000, 0.834763, 0.695008, 0.027635, 0.795011, 0.606595
0.001754, 6.000000, 0.834338, 0.695565, 0.027475, -0.606360, 0.795191, 0.000700, 7.000000
0.835716, 0.696615, 0.027315, 0.795216, 0.606326, 0.001733, 6.000000, 0.835296, 0.697167
0.027158, -0.606097, 0.795391, 0.000694, 7.000000, 0.836658, 0.698205, 0.027002, 0.795421
0.606057, 0.001712, 6.000000, 0.836241, 0.698751, 0.026847, -0.605835, 0.795590, 0.000687
7.000000, 0.837587, 0.699776, 0.026693, 0.795625, 0.605790, 0.001692, 6.000000, 0.837175
0.700318, 0.026542, -0.605575, 0.795789, 0.000681, 7.000000, 0.838506, 0.701330, 0.026391
0.795827, 0.605525, 0.001672, 6.000000, 0.838098, 0.701867, 0.026242, -0.605316, 0.795985
0.000674, 7.000000, 0.839413, 0.702867, 0.026094, 0.796027, 0.605261, 0.001652, 6.000000
0.839009, 0.703399, 0.025947, -0.605061, 0.796179, 0.000668, 7.000000, 0.840310, 0.704387
0.025802, 0.796225, 0.605001, 0.001633, 6.000000, 0.839909, 0.704914, 0.025658, -0.604809
0.796371, 0.000662, 7.000000, 0.841196, 0.705890, 0.025515, 0.796420, 0.604744, 0.001615
6.000000, 0.840799, 0.706413, 0.025373, -0.604561, 0.796559, 0.000656, 7.000000, 0.842071
0.707378, 0.025233, 0.796612, 0.604491, 0.001597, 6.000000, 0.841679, 0.707895, 0.025093
-0.604317, 0.796744, 0.000650, 7.000000, 0.842937, 0.708850, 0.024955, 0.796800, 0.604243
0.001579, 6.000000, 0.842548, 0.709363, 0.024819, -0.604078, 0.796925, 0.000644, 7.000000
0.843792, 0.710306, 0.024683, 0.796984, 0.604000, 0.001562, 6.000000, 0.843407, 0.710815
0.024549, -0.603844, 0.797103, 0.000638, 7.000000, 0.844638, 0.711747, 0.024415, 0.797164
0.603762, 0.001545, 6.000000, 0.844256, 0.712251, 0.024283, -0.603616, 0.797275, 0.000633
7.000000, 0.845475, 0.713174, 0.024152, 0.797340, 0.603530, 0.001528, 6.000000, 0.845096
0.713674, 0.024022, -0.603395, 0.797443, 0.000627, 7.000000, 0.846302, 0.714586, 0.023893
0.797510, 0.603305, 0.001512, 6.000000, 0.845927, 0.715081, 0.023765, -0.603180, 0.797605
0.000622, 7.000000, 0.847120, 0.715984, 0.023638, 0.797676, 0.603087, 0.001496, 6.000000
0.846749, 0.716475, 0.023512, -0.602972, 0.797762, 0.000616, 7.000000, 0.847930, 0.717368
0.023387, 0.797835, 0.602875, 0.001480, 6.000000, 0.847561, 0.717855, 0.023263, -0.602772
0.797914, 0.000611, 7.000000, 0.848731, 0.718738, 0.023140, 0.797989, 0.602672, 0.001465
6.000000, 0.848365, 0.719222, 0.023018, -0.602579, 0.798059, 0.000606, 7.000000, 0.849523
0.720096, 0.022897, 0.798137, 0.602476, 0.001450, 6.000000, 0.849161, 0.720575, 0.022777
-0.602395, 0.798198, 0.000601, 7.000000, 0.850307, 0.721440, 0.022658, 0.798278, 0.602289
0.001436, 6.000000, 0.849948, 0.721916, 0.022540, -0.602220, 0.798330, 0.000596, 7.000000
0.851083, 0.722772, 0.022423, 0.798413, 0.602110, 0.001422, 6.000000, 0.850727, 0.723244
0.022307, -0.602053, 0.798456, 0.000591, 7.000000, 0.851851, 0.724091, 0.022191, 0.798541
0.601941, 0.001408, 6.000000, 0.851498, 0.724559, 0.022077, -0.601896, 0.798575, 0.000586
7.000000, 0.852612, 0.725398, 0.021963, 0.798662, 0.601780, 0.001394, 6.000000, 0.852262
0.725863, 0.021850, -0.601730, 0.798700, 0.000582, 7.000000, 0.853365, 0.726693, 0.021738
0.798789, 0.601611, 0.001381, 6.000000, 0.853017, 0.727154, 0.021627, -0.601553, 0.798833
0.000577, 7.000000, 0.854110, 0.727977, 0.021517, 0.798924, 0.601432, 0.001367, 6.000000
0.853765, 0.728434, 0.021408, -0.601366, 0.798974, 0.000572, 7.000000, 0.854847, 0.729248
0.021299, 0.799067, 0.601242, 0.001354, 6.000000, 0.854506, 0.729702, 0.021191, -0.601169
0.799122, 0.000568, 7.000000, 0.855578, 0.730508, 0.021084, 0.799217, 0.601043, 0.001341
6.000000, 0.855239, 0.730958, 0.020978, -0.600961, 0.799278, 0.000563, 7.000000, 0.856301
0.731756, 0.020873, 0.799375, 0.600833, 0.001328, 6.000000, 0.855965, 0.732203, 0.020768
-0.600745, 0.799441, 0.000559, 7.000000, 0.857017, 0.732993, 0.020665, 0.799539, 0.600614
0.001315, 6.000000, 0.856684, 0.733436, 0.020562, -0.600518, 0.799611, 0.000555, 7.000000
0.857725, 0.734218, 0.020459, 0.799711, 0.600385, 0.001303, 6.000000, 0.857395, 0.734658
0.020358, -0.600283, 0.799788, 0.000550, 7.000000, 0.858427, 0.735433, 0.020257, 0.799889
0.600148, 0.001290, 6.000000, 0.858099, 0.735869, 0.020157, -0.600039, 0.799971, 0.000546
7.000000, 0.859122, 0.736636, 0.020058, 0.800074, 0.599901, 0.001278, 6.000000, 0.858797
0.737070, 0.019960, -0.599785, 0.800161, 0.000542, 7.000000, 0.859810, 0.737829, 0.019862
0.800265, 0.599646, 0.001266, 6.000000, 0.859488, 0.738259, 0.019765, -0.599524, 0.800357
0.000538, 7.000000, 0.860491, 0.739010, 0.019669, 0.800463, 0.599383, 0.001254, 6.000000
0.860171, 0.739437, 0.019573, -0.599254, 0.800559, 0.000533, 7.000000, 0.861166, 0.740181
0.019478, 0.800666, 0.599111, 0.001242, 6.000000, 0.860849, 0.740605, 0.019384, -0.598976
0.800767, 0.000529, 7.000000, 0.861834, 0.741342, 0.019290, 0.800875, 0.598831, 0.001230
6.000000, 0.861519, 0.741763, 0.019197, -0.598690, 0.800981, 0.000525, 7.000000, 0.862495
0.742492, 0.019105, 0.801090, 0.598544, 0.001218, 6.000000, 0.862183, 0.742910, 0.019014
-0.598396, 0.801200, 0.000521, 7.000000, 0.863150, 0.743632, 0.018923, 0.801311, 0.598248
0.001207, 6.000000, 0.862841, 0.744047, 0.018833, -0.598095, 0.801425, 0.000518, 7.000000
0.863799, 0.744762, 0.018743, 0.801537, 0.597946, 0.001196, 6.000000, 0.863492, 0.745173
0.018654, -0.597787, 0.801655, 0.000514, 7.000000, 0.864442, 0.745881, 0.018566, 0.801768
0.597636, 0.001184, 6.000000, 0.864137, 0.746290, 0.018478, -0.597471, 0.801890, 0.000510
7.000000, 0.865078, 0.746991, 0.018391, 0.802004, 0.597319, 0.001173, 6.000000, 0.864776
0.747397, 0.018305, -0.597149, 0.802130, 0.000506, 7.000000, 0.865708, 0.748091, 0.018219
0.802245, 0.596996, 0.001162, 6.000000, 0.865408, 0.748494, 0.018134, -0.596820, 0.802375
0.000502, 7.000000, 0.866333, 0.749181, 0.018049, 0.802490, 0.596665, 0.001152, 6.000000
0.866035, 0.749581, 0.017966, -0.596485, 0.802624, 0.000499, 7.000000, 0.866951, 0.750262
0.017882, 0.802740, 0.596329, 0.001141, 6.000000, 0.866656, 0.750659, 0.017799, -0.596143
0.802878, 0.000495, 7.000000, 0.867563, 0.751333, 0.017717, 0.802995, 0.595986, 0.001130
6.000000, 0.867271, 0.751728, 0.017636, -0.595795, 0.803136, 0.000492, 7.000000, 0.868170
0.752395, 0.017555, 0.803254, 0.595637, 0.001120, 6.000000, 0.867880, 0.752787, 0.017474
-0.595441, 0.803399, 0.000488, 7.000000, 0.868771, 0.753448, 0.017394, 0.803517, 0.595282
0.001110, 6.000000, 0.868483, 0.753837, 0.017315, -0.595082, 0.803665, 0.000484, 7.000000
0.869367, 0.754491, 0.017236, 0.803783, 0.594922, 0.001100, 6.000000, 0.869081, 0.754878
0.017158, -0.594717, 0.803935, 0.000481, 7.000000, 0.869957, 0.755526, 0.017080, 0.804054
0.594556, 0.001090, 6.000000, 0.869673, 0.755910, 0.017003, -0.594347, 0.804209, 0.000478
7.000000, 0.870541, 0.756551, 0.016926, 0.804328, 0.594185, 0.001080, 6.000000, 0.870260
0.756933, 0.016850, -0.593971, 0.804486, 0.000474, 7.000000, 0.871120, 0.757568, 0.016774
0.804606, 0.593809, 0.001070, 6.000000, 0.870841, 0.757947, 0.016699, -0.593591, 0.804767
0.000471, 7.000000, 0.871694, 0.758576, 0.016625, 0.804887, 0.593428, 0.001060, 6.000000
0.871417, 0.758953, 0.016551, -0.593205, 0.805051, 0.000468, 8.000000, 0.872263, 0.759576
0.016477, 0.805111, 0.593124, 0.001051, 6.000000, 0.871988, 0.759950, 0.016404, -0.592898
0.805278, 0.000464, 8.000000, 0.872827, 0.760568, 0.016332, 0.805337, 0.592817, 0.001042
6.000000, 0.872554, 0.760939, 0.016259, -0.592587, 0.805506, 0.000461, 8.000000, 0.873386
0.761552, 0.016188, 0.805565, 0.592507, 0.001033, 6.000000, 0.873115, 0.761921, 0.016117
-0.592274, 0.805737, 0.000458, 8.000000, 0.873940, 0.762527, 0.016046, 0.805795, 0.592195
0.001024, 6.000000, 0.873671, 0.762894, 0.015976, -0.591958, 0.805969, 0.000455, 8.000000
0.874489, 0.763495, 0.015906, 0.806026, 0.591880, 0.001016, 6.000000, 0.874222, 0.763860
0.015836, -0.591640, 0.806202, 0.000452, 8.000000, 0.875034, 0.764456, 0.015768, 0.806259
0.591563, 0.001007, 6.000000, 0.874769, 0.764818, 0.015699, -0.591319, 0.806437, 0.000449
8.000000, 0.875574, 0.765408, 0.015631, 0.806493, 0.591243, 0.000999, 6.000000, 0.875311
0.765768, 0.015563, -0.590997, 0.806674, 0.000446, 8.000000, 0.876110, 0.766354, 0.015496
0.806729, 0.590922, 0.000990, 6.000000, 0.875848, 0.766711, 0.015430, -0.590672, 0.806912
0.000443, 8.000000, 0.876640, 0.767291, 0.015363, 0.806966, 0.590598, 0.000982, 6.000000
0.876381, 0.767647, 0.015297, -0.590345, 0.807151, 0.000440, 8.000000, 0.877167, 0.768222
0.015232, 0.807204, 0.590273, 0.000974, 6.000000, 0.876909, 0.768575, 0.015167, -0.590017
0.807391, 0.000437, 8.000000, 0.877689, 0.769145, 0.015102, 0.807443, 0.589946, 0.000966
6.000000, 0.877433, 0.769496, 0.015038, -0.589687, 0.807632, 0.000435, 8.000000, 0.878207
0.770061, 0.014974, 0.807683, 0.589617, 0.000958, 6.000000, 0.877952, 0.770410, 0.014911
-0.589356, 0.807874, 0.000432, 8.000000, 0.878720, 0.770970, 0.014848, 0.807924, 0.589287
0.000950, 6.000000, 0.878467, 0.771316, 0.014785, -0.589023, 0.808116, 0.000429, 8.000000
0.879229, 0.771872, 0.014723, 0.808166, 0.588955, 0.000943, 6.000000, 0.878978, 0.772216
0.014661, -0.588689, 0.808360, 0.000426, 8.000000, 0.879734, 0.772767, 0.014600, 0.808408
0.588623, 0.000935, 7.000000, 0.879485, 0.773109, 0.014539, -0.588489, 0.808505, 0.000424
8.000000, 0.880236, 0.773656, 0.014478, 0.808553, 0.588424, 0.000929, 7.000000, 0.879988
0.773996, 0.014418, -0.588291, 0.808649, 0.000421, 8.000000, 0.880733, 0.774538, 0.014357
0.808696, 0.588227, 0.000922, 7.000000, 0.880487, 0.774877, 0.014298, -0.588095, 0.808792
0.000419, 8.000000, 0.881227, 0.775415, 0.014238, 0.808837, 0.588033, 0.000915, 7.000000
0.880983, 0.775751, 0.014179, -0.587902, 0.808932, 0.000416, 8.000000, 0.881718, 0.776285
0.014121, 0.808977, 0.587841, 0.000908, 7.000000, 0.881475, 0.776620, 0.014063, -0.587712
0.809070, 0.000414, 8.000000, 0.882204, 0.777150, 0.014005, 0.809114, 0.587652, 0.000902
7.000000, 0.881963, 0.777483, 0.013947, -0.587524, 0.809207, 0.000411, 8.000000, 0.882687
0.778009, 0.013890, 0.809249, 0.587465, 0.000895, 7.000000, 0.882447, 0.778339, 0.013833
-0.587339, 0.809341, 0.000409, 8.000000, 0.883167, 0.778861, 0.013776, 0.809382, 0.587282
0.000889, 7.000000, 0.882928, 0.779190, 0.013720, -0.587157, 0.809473, 0.000406, 8.000000
0.883643, 0.779708, 0.013664, 0.809513, 0.587101, 0.000883, 7.000000, 0.883406, 0.780035
0.013608, -0.586978, 0.809603, 0.000404, 8.000000, 0.884116, 0.780550, 0.013553, 0.809642
0.586924, 0.000877, 7.000000, 0.883880, 0.780875, 0.013497, -0.586802, 0.809730, 0.000401
8.000000, 0.884585, 0.781386, 0.013443, 0.809769, 0.586749, 0.000870, 7.000000, 0.884351
0.781709, 0.013388, -0.586630, 0.809855, 0.000399, 8.000000, 0.885051, 0.782216, 0.013334
0.809893, 0.586578, 0.000864, 7.000000, 0.884818, 0.782537, 0.013280, -0.586460, 0.809978
0.000397, 8.000000, 0.885513, 0.783041, 0.013227, 0.810014, 0.586410, 0.000858, 7.000000
0.885282, 0.783360, 0.013173, -0.586295, 0.810098, 0.000395, 8.000000, 0.885973, 0.783860
0.013120, 0.810133, 0.586246, 0.000853, 7.000000, 0.885743, 0.784178, 0.013068, -0.586132
0.810215, 0.000392, 8.000000, 0.886429, 0.784674, 0.013015, 0.810249, 0.586085, 0.000847
7.000000, 0.886200, 0.784991, 0.012963, -0.585973, 0.810330, 0.000390, 8.000000, 0.886882
0.785483, 0.012912, 0.810363, 0.585928, 0.000841, 7.000000, 0.886655, 0.785798, 0.012860
-0.585818, 0.810442, 0.000388, 8.000000, 0.887332, 0.786287, 0.012809, 0.810474, 0.585774
0.000835, 7.000000, 0.887106, 0.786600, 0.012758, -0.585667, 0.810552, 0.000386, 8.000000
0.887779, 0.787086, 0.012707, 0.810582, 0.585625, 0.000830, 7.000000, 0.887554, 0.787397
0.012657, -0.585520, 0.810658, 0.000384, 8.000000, 0.888223, 0.787879, 0.012607, 0.810688
0.585479, 0.000824, 7.000000, 0.887999, 0.788189, 0.012557, -0.585376, 0.810762, 0.000381
8.000000, 0.888663, 0.788668, 0.012507, 0.810790, 0.585337, 0.000819, 7.000000, 0.888442
0.788976, 0.012458, -0.585236, 0.810863, 0.000379, 8.000000, 0.889101, 0.789452, 0.012409
0.810890, 0.585199, 0.000814, 7.000000, 0.888881, 0.789758, 0.012360, -0.585101, 0.810960
0.000377, 8.000000, 0.889536, 0.790231, 0.012311, 0.810986, 0.585065, 0.000808, 7.000000
0.889317, 0.790535, 0.012263, -0.584970, 0.811055, 0.000375, 8.000000, 0.889968, 0.791005
0.012215, 0.811080, 0.584936, 0.000803, 7.000000, 0.889750, 0.791307, 0.012167, -0.584843
0.811147, 0.000373, 8.000000, 0.890398, 0.791774, 0.012120, 0.811170, 0.584810, 0.000798
7.000000, 0.890181, 0.792075, 0.012072, -0.584720, 0.811235, 0.000371, 8.000000, 0.890824
0.792539, 0.012025, 0.811257, 0.584689, 0.000793, 7.000000, 0.890609, 0.792838, 0.011978
-0.584602, 0.811320, 0.000369, 8.000000, 0.891248, 0.793299, 0.011932, 0.811341, 0.584573
0.000788, 7.000000, 0.891033, 0.793597, 0.011886, -0.584488, 0.811402, 0.000367, 8.000000
0.891669, 0.794055, 0.011839, 0.811422, 0.584461, 0.000783, 7.000000, 0.891456, 0.794351
0.011794, -0.584379, 0.811481, 0.000365, 8.000000, 0.892087, 0.794806, 0.011748, 0.811499
0.584353, 0.000778, 7.000000, 0.891875, 0.795101, 0.011703, -0.584274, 0.811556, 0.000363
8.000000, 0.892503, 0.795553, 0.011657, 0.811573, 0.584251, 0.000774, 7.000000, 0.892292
0.795846, 0.011613, -0.584174, 0.811628, 0.000361, 8.000000, 0.892916, 0.796295, 0.011568
0.811644, 0.584152, 0.000769, 7.000000, 0.892706, 0.796586, 0.011523, -0.584079, 0.811697
0.000359, 8.000000, 0.893327, 0.797033, 0.011479, 0.811711, 0.584059, 0.000764, 7.000000
0.893118, 0.797323, 0.011435, -0.583988, 0.811762, 0.000357, 8.000000, 0.893735, 0.797767
0.011391, 0.811775, 0.583970, 0.000760, 7.000000, 0.893527, 0.798055, 0.011348, -0.583903
0.811824, 0.000356, 8.000000, 0.894140, 0.798496, 0.011304, 0.811835, 0.583886, 0.000755
7.000000, 0.893933, 0.798783, 0.011261, -0.583822, 0.811882, 0.000354, 8.000000, 0.894543
0.799222, 0.011218, 0.811892, 0.583808, 0.000751, 7.000000, 0.894338, 0.799507, 0.011176
-0.583746, 0.811936, 0.000352, 8.000000, 0.894943, 0.799943, 0.011133, 0.811945, 0.583734
0.000746, 7.000000, 0.894739, 0.800227, 0.011091, -0.583676, 0.811987, 0.000350, 8.000000
0.895342, 0.800660, 0.011049, 0.811996, 0.583662, 0.000742, 7.000000, 0.895138, 0.800943
0.011007, -0.583608, 0.812036, 0.000348, 8.000000, 0.895737, 0.801373, 0.010965, 0.812046
0.583593, 0.000738, 7.000000, 0.895535, 0.801655, 0.010924, -0.583541, 0.812083, 0.000346
8.000000, 0.896131, 0.802083, 0.010882, 0.812095, 0.583526, 0.000733, 7.000000, 0.895929
0.802363, 0.010841, -0.583478, 0.812129, 0.000345, 8.000000, 0.896522, 0.802788, 0.010800
0.812141, 0.583461, 0.000729, 7.000000, 0.896322, 0.803067, 0.010760, -0.583416, 0.812174
0.000343, 8.000000, 0.896910, 0.803490, 0.010719, 0.812187, 0.583398, 0.000725, 7.000000
0.896711, 0.803767, 0.010679, -0.583356, 0.812216, 0.000341, 8.000000, 0.897297, 0.804187
0.010639, 0.812230, 0.583337, 0.000721, 7.000000, 0.897099, 0.804463, 0.010599, -0.583299
0.812257, 0.000340, 8.000000, 0.897681, 0.804881, 0.010559, 0.812272, 0.583279, 0.000717
7.000000, 0.897484, 0.805156, 0.010520, -0.583244, 0.812297, 0.000338, 8.000000, 0.898063
0.805571, 0.010481, 0.812312, 0.583223, 0.000713, 7.000000, 0.897867, 0.805844, 0.010441
-0.583192, 0.812334, 0.000336, 8.000000, 0.898442, 0.806258, 0.010403, 0.812350, 0.583170
0.000709, 7.000000, 0.898247, 0.806529, 0.010364, -0.583142, 0.812370, 0.000334, 8.000000
0.898820, 0.806940, 0.010325, 0.812387, 0.583119, 0.000705, 7.000000, 0.898626, 0.807211
0.010287, -0.583095, 0.812404, 0.000333, 8.000000, 0.899195, 0.807619, 0.010249, 0.812422
0.583070, 0.000701, 7.000000, 0.899002, 0.807888, 0.010211, -0.583047, 0.812439, 0.000331
8.000000, 0.899568, 0.808295, 0.010173, 0.812457, 0.583021, 0.000697, 7.000000, 0.899376
0.808562, 0.010135, -0.582995, 0.812476, 0.000330, 8.000000, 0.899939, 0.808967, 0.010098
0.812495, 0.582969, 0.000693, 7.000000, 0.899748, 0.809233, 0.010060, -0.582940, 0.812515
0.000328, 8.000000, 0.900308, 0.809635, 0.010023, 0.812535, 0.582913, 0.000689, 7.000000
0.900118, 0.809900, 0.009986, -0.582882, 0.812557, 0.000326, 8.000000, 0.900675, 0.810299
0.009949, 0.812577, 0.582854, 0.000685, 7.000000, 0.900486, 0.810563, 0.009913, -0.582821
0.812601, 0.000325, 8.000000, 0.901040, 0.810961, 0.009876, 0.812622, 0.582791, 0.000682
7.000000, 0.900851, 0.811223, 0.009840, -0.582756, 0.812647, 0.000323, 8.000000, 0.901402
0.811618, 0.009804, 0.812669, 0.582726, 0.000678, 7.000000, 0.901215, 0.811880, 0.009768
-0.582688, 0.812696, 0.000322, 8.000000, 0.901763, 0.812272, 0.009732, 0.812718, 0.582657
0.000674, 7.000000, 0.901576, 0.812532, 0.009697, -0.582617, 0.812747, 0.000320, 8.000000
0.902121, 0.812923, 0.009661, 0.812770, 0.582585, 0.000670, 7.000000, 0.901936, 0.813182
0.009626, -0.582543, 0.812800, 0.000318, 8.000000, 0.902478, 0.813570, 0.009591, 0.812823
0.582511, 0.000667, 7.000000, 0.902293, 0.813828, 0.009556, -0.582467, 0.812855, 0.000317
8.000000, 0.902832, 0.814214, 0.009521, 0.812879, 0.582433, 0.000663, 7.000000, 0.902649
0.814470, 0.009487, -0.582387, 0.812912, 0.000315, 8.000000, 0.903185, 0.814854, 0.009452
0.812937, 0.582352, 0.000659, 7.000000, 0.903002, 0.815109, 0.009418, -0.582304, 0.812971
0.000314, 8.000000, 0.903535, 0.815491, 0.009384, 0.812997, 0.582268, 0.000656, 7.000000
0.903353, 0.815745, 0.009350, -0.582218, 0.813033, 0.000312, 8.000000, 0.903883, 0.816125
0.009316, 0.813059, 0.582181, 0.000652, 7.000000, 0.903702, 0.816378, 0.009282, -0.582129
0.813096, 0.000311, 8.000000, 0.904230, 0.816755, 0.009249, 0.813123, 0.582092, 0.000649
7.000000, 0.904050, 0.817007, 0.009215, -0.582037, 0.813162, 0.000309, 8.000000, 0.904574
0.817382, 0.009182, 0.813189, 0.581999, 0.000645, 7.000000, 0.904395, 0.817633, 0.009149
-0.581943, 0.813230, 0.000308, 8.000000, 0.904917, 0.818006, 0.009116, 0.813257, 0.581904
0.000641, 7.000000, 0.904739, 0.818255, 0.009084, -0.581846, 0.813299, 0.000306, 8.000000
0.905258, 0.818626, 0.009051, 0.813327, 0.581806, 0.000638, 7.000000, 0.905080, 0.818874
0.009019, -0.581746, 0.813371, 0.000305, 8.000000, 0.905596, 0.819243, 0.008986, 0.813399
0.581706, 0.000634, 7.000000, 0.905420, 0.819490, 0.008954, -0.581643, 0.813444, 0.000303
8.000000, 0.905933, 0.819857, 0.008922, 0.813473, 0.581602, 0.000631, 7.000000, 0.905757
